"How loved, overwhelmed and sad Australian men and women report feeling.","Nam giới và phụ nữ Úc khai báo cảm thấy được yêu thương, cảm thấy choáng ngợp và buồn ở mức độ nào."
The decline of the traditional family unit has made Australia worse off.,Sự sụt giảm của mô hình gia đình truyền thống làm cho nước Úc trở nên tệ hơn
"Like 46% of Australians, you think the decline of the traditional family unit has made Australia worse off","Cũng như 46% người Úc, quý vị cho là sự sụt giảm của mô hình gia đình truyền thống làm cho nước Úc trở nên tệ hơn"
"Men, lower income earners and older Aussies are the most likely demographic groups to agree with you.","Nam giới, những người có lợi tức thấp hơn và người Úc lớn tuổi hơn, là các nhóm dân số có nhiều khả năng đồng ý với quý vị nhất."
The decline of the traditional family unit has made Australia worse off,Sự sụt giảm của mô hình gia đình truyền thống làm cho nước Úc trở nên tệ hơn
"Like 37% of Australians, you don't think the decline of the traditional family unit has made Australia worse off","Cũng như 37% người Úc, quý vị không cho là sự sụt giảm của mô hình gia đình truyền thống làm cho nước Úc trở nên tệ hơn"
Women are more likely to agree with you than men are. Younger Aussies and those on higher incomes are also more likely to take the same position as you.,"Phụ nữ có nhiều khả năng đồng ý với quý vị hơn, so với nam giới. Những người Úc trẻ hơn và những người có lợi tức cao hơn cũng có nhiều khả năng có cùng quan điểm như quý vị hơn."
The decline of the traditional family unit has made Australia worse off.,Sự sụt giảm của mô hình gia đình truyền thống làm cho nước Úc trở nên tệ hơn
46% of Australians think the decline of the traditional family unit has made Australia worse off,46% người Úc cho là sự sụt giảm của mô hình gia đình truyền thống làm cho nước Úc trở nên tệ hơn
"Men, lower income earners and older Aussies are the groups most concerned about the decline of the traditional family unit.","Nam giới, những người có lợi tức thấp và những người Úc lớn tuổi hơn, là các nhóm quan ngại nhất về sự sụt giảm của mô hình gia đình truyền thống."
The decline of the traditional family unit has made Australia worse off.,Sự sụt giảm của mô hình gia đình truyền thống làm cho nước Úc trở nên tệ hơn.
I consider myself to be a feminist.,Tôi coi bản thân mình là người theo thuyết nam nữ bình quyền.
"Like 66% of women, you consider yourself a feminist — only one in three men feel this way","Cũng như 66% phụ nữ, tôi coi bản thân mình là người theo thuyết nam nữ bình quyền - chỉ một phần ba nam giới cảm thấy cách mình như vậy"
Almost twice as many men as women answered 'neutral' on this question. There's a big split by age too — three times as many young people strongly agree they're feminists compared with our oldest Australians.,"Gần gấp đôi nam giới so với phụ nữ, trả lời 'trung lập' đối với câu hỏi này. Có sự chia rẽ lớn cả theo tuổi tác – số người trẻ đồng ý mạnh mẽ rằng họ theo thuyết nam nữ bình quyền, cao gấp ba lần so với những người Úc lớn tuổi nhất của chúng ta. "
I consider myself to be a feminist.,Tôi coi bản thân mình là người theo thuyết nam nữ bình quyền.
"Like 1 in 3 women, you don't call yourself a feminist","Cũng như một phần ba phụ nữ, quý vị không gọi bản thân mình là người theo thuyết nam nữ bình quyền."
Feminists are more likely to be women (surprise!) and live in the inner city. There's a big split by age too — three times as many young people strongly agree they're feminists compared with our oldest Australians.,"Những người theo thuyết nam nữ bình quyền có nhiều khả năng là các phụ nữ (thật ngạc nhiên!) và sống trong nội đô. Có sự chia rẽ lớn cả theo tuổi tác – số người trẻ đồng ý mạnh mẽ rằng họ theo thuyết nam nữ bình quyền, cao gấp ba lần so với những người Úc lớn tuổi nhất của chúng ta. "
I consider myself to be a feminist.,Tôi coi bản thân mình là người theo thuyết nam nữ bình quyền.
"You consider yourself a feminist, as do 1 in 3 men overall","Quý vị coi bản thân mình là người theo thuyết nam nữ bình quyền, về tổng thể một phần ba nam giới cũng vậy"
Feminists are more likely to be women (surprise!) and live in the inner city. There's a big split by age too — three times as many young people strongly agree they're feminists compared to our oldest Australians.,"Những người theo thuyết nam nữ bình quyền có nhiều khả năng là các phụ nữ (thật ngạc nhiên!) và sống trong nội đô. Có sự chia rẽ lớn cả theo tuổi tác – số người trẻ đồng ý mạnh mẽ rằng họ theo thuyết nam nữ bình quyền, cao gấp ba lần so với những người Úc lớn tuổi nhất của chúng ta. "
I consider myself to be a feminist.,Tôi coi bản thân mình là người theo thuyết nam nữ bình quyền.
"Like 68% of men, you don't call yourself a feminist","Cũng như 68% nam giới, quý vị không gọi bản thân mình là người theo thuyết nam nữ bình quyền."
Feminists are more likely to be women (surprise!) and live in the inner city. There's a big split by age too — three times as many young people strongly agree they're feminists compared to our oldest Australians.,"Những người theo thuyết nam nữ bình quyền có nhiều khả năng là các phụ nữ (thật ngạc nhiên!) và sống trong nội đô. Có sự chia rẽ lớn cả theo tuổi tác – số người trẻ đồng ý mạnh mẽ rằng họ theo thuyết nam nữ bình quyền, cao gấp ba lần so với những người Úc lớn tuổi nhất của chúng ta. "
I consider myself to be a feminist.,Tôi coi bản thân mình là người theo thuyết nam nữ bình quyền.
Feminists are more likely to be women (surprise!) and live in the inner city,Những người theo thuyết nam nữ bình quyền có nhiều khả năng là các phụ nữ (thật ngạc nhiên!) và sống trong nội đô.
And did you know three times more young people strongly agree they're feminists compared to our oldest Australians?,"Và quý vị có biết là số người trẻ đồng ý mạnh mẽ rằng họ theo thuyết nam nữ bình quyền, cao gấp ba lần so với những người Úc lớn tuổi nhất của chúng ta không?"
I consider myself to be a feminist.,Tôi coi bản thân mình là người theo thuyết nam nữ bình quyền.
I feel safe walking alone at night in my neighbourhood.,Tôi cảm thấy an toàn khi đi bộ một mình ban đêm trong khu vực tôi sinh sống.
"You generally feel safe walking home at night, but for 44% of women that's not the case","Nói chung, quý vị cảm thấy an toàn khi đi bộ về nhà vào ban đêm, nhưng đối với 44% phụ nữ, thì không phải vậy"
